manuscript_item,source_dataset,notes,count,mean_final_obj,ci95_final_obj,mean_time_total_s,ci95_time_total_s,mean_ship_time,mean_drone_time,best_final_obj,mean_mc_infeasible_rate,mean_mc_obj_mean,mean_realized_cost_inflation,mean_replan_count,mean_replan_time_total_s,config,n_tasks,planned_premium_pct,corr_label,gain_vs_adjacent_pct,instance_id,L,status,cert_lb,cert_ub,cert_gap,cert_time_s,combos,feasible_pct,J_star_template,J_hyb,gap_pct,t_enum_over_t_hyb
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,11293.192552136066,104.95148325007399,11.977813851999818,0.30303296391733114,14.004488313878905,22.566466192196717,10862.834360680816,,,,,,abl_adjacent,20.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,15788.677667388365,382.81904041787107,45.0410340780043,0.6246357120777334,19.279460711411314,37.97377525228226,13521.789602989413,,,,,,abl_adjacent,40.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,18769.251324478188,300.6829967210784,76.70868911999395,0.9273055203956647,22.846017170113797,46.70681276836684,16987.626270621702,,,,,,abl_adjacent,60.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,22651.522168402546,280.9425611141817,97.42878300199983,1.9532261405580134,27.79675010489926,51.54170256366013,20817.640607872112,,,,,,abl_adjacent,80.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,11006.040409038198,76.66018861412907,21.361849085997093,0.5797864326614055,13.586015622651955,23.329391201406594,10393.623581549382,,,,,,abl_no_cache,20.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,14715.362646262427,359.1084591598263,54.824585405995606,0.3459321728776153,17.613967311606498,42.996776073072844,13032.82909084652,,,,,,abl_no_cache,40.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,16181.066732575011,206.80160836014159,70.69294107000228,0.85912065726034,18.884257322968793,57.65353543852616,14771.542728102875,,,,,,abl_no_cache,60.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,18228.986179394004,189.22769252500703,79.85960860200458,0.9706678093916419,20.42170041157883,83.22031059171098,16800.211127293864,,,,,,abl_no_cache,80.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,10092.72774216774,51.459622332359736,7.406472714003176,0.24464031099174585,12.434727486448239,21.905203638044554,9633.794934247362,,,,,,abl_no_dro,20.0,,,,,,,,,,,,,,,,
Fig. scalability panels: seed-level scalability records,ExpA_scalability,Means reproduce scalability objective/runtime/decomposition panels.,50.0,13275.131468569869,374.5717383884128,37.27514095600229,0.5855505403782866,15.851478001235657,39.61494193266077,11649.117210285936,,,,,,abl_no_dro,40.0,,,,,,,,,,,,,,,,
