supplement_record_id,source_dataset,manuscript_block,source_original_relative_path,source_submitted_file,source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb,layout_id,layout_variant,layout_source,subset_rule,perturbation_rule,policy_type,buffer_rule,buffer_eta,replan_count,replan_time_total,realized_failure_rate,realized_cost_inflation,mc_R_tol,n,file,R
R00001,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,20264.0,OK,20.0,2,palns,4.3768233000300825,10797.551733697905,10797.551733697905,13.38210845014534,21.74201131682566,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00002,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,28183.0,OK,20.0,2,palns,4.491982300009113,10820.334968843796,10820.334968843796,13.409221833015938,21.811959830909785,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00003,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,36102.0,OK,20.0,2,palns,3.965619499969762,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172026,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00004,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,44021.0,OK,20.0,2,palns,3.933653699990828,10774.162052320347,10774.162052320347,13.248674529876498,23.93303299751353,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00005,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,51940.0,OK,20.0,2,palns,4.3636624999926426,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172026,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00006,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,59859.0,OK,20.0,2,palns,4.070278499973938,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172026,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00007,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,67778.0,OK,20.0,2,palns,4.835066200001165,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172026,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00008,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,75697.0,OK,20.0,2,palns,3.8274421999813057,10825.2329558111,10825.2329558111,13.414804036674898,21.832283665855087,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00009,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,83616.0,OK,20.0,2,palns,3.890300299972296,10858.752140941504,10858.752140941504,13.492721720065754,21.12031002549106,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00010,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,palns_only,91535.0,OK,20.0,2,palns,4.539720599947032,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172026,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00011,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,99454.0,OK,20.0,2,hybrid,8.50154939998174,10869.573455756044,10593.660221818784,13.090547538220497,22.16427337581179,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00012,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,107373.0,OK,20.0,2,hybrid,8.295834799995646,10869.775374572686,10431.517570831344,12.844411260614406,22.805975010586916,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00013,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,115292.0,OK,20.0,2,hybrid,9.024646500009112,10825.233215818764,10803.80375234006,13.404907301651964,21.43209360288819,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00014,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,123211.0,OK,20.0,2,hybrid,7.521216699969955,10825.233215818764,10728.705112989392,13.282956196464028,21.899656161182065,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00015,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,131130.0,OK,20.0,2,hybrid,6.862117299984675,10825.23291240678,10569.779946387534,13.106156023880004,21.147512242215168,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00016,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,139049.0,OK,20.0,2,hybrid,9.21306199999526,10825.23295755387,10453.118929181135,12.88806156217645,22.48779307282285,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00017,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,146968.0,OK,20.0,2,hybrid,7.582236199988984,10787.809202812714,10773.075307668,13.387375390215906,20.929821857316337,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00018,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,154887.0,OK,20.0,2,hybrid,9.136979200004134,10869.7757303235,10626.809640083968,13.214489986558473,20.455490004717568,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00019,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,162806.0,OK,20.0,2,hybrid,8.816309099958744,10825.233215818764,10505.698268556022,12.9739863903697,22.14881359367848,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00020,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,hybrid_main,170725.0,OK,20.0,2,hybrid,9.619817800004968,10820.334968843796,10627.7609604156,13.14375230915746,21.998477958500025,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00021,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,178644.0,OK,20.0,2,hybrid,9.454720100038683,9867.20400560278,9860.411489260465,12.163587442296388,21.077740215376387,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00022,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,186563.0,OK,20.0,2,hybrid,7.833260799990967,9881.394262397598,9879.611587857638,12.197487273125148,20.899889514679337,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00023,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,194482.0,OK,20.0,2,hybrid,8.678499099973124,9832.324284430531,9761.072057573872,12.062810786920956,20.39897049666156,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00024,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,202401.0,OK,20.0,2,hybrid,7.160345599986613,9825.251007541445,9823.66174084316,12.10666354373332,21.24754522980484,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00025,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,210320.0,OK,20.0,2,hybrid,7.451677799981553,9825.251007541445,9823.66174084316,12.10666354373332,21.24754522980484,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00026,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,218239.0,OK,20.0,2,hybrid,6.842543000006117,9825.251007541445,9777.80998737266,12.097690154237831,20.129782048408156,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00027,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,226158.0,OK,20.0,2,hybrid,6.303010700037703,9879.611587857638,9879.611587857638,12.197487273125148,20.899889514679337,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00028,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_dro,234077.0,OK,20.0,2,hybrid,7.709407099988311,9799.194328295622,9772.021376928798,12.094339786944444,20.036186763441847,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
